shop_id,google_place_id,shop_name,city,neighborhood,address,shop_type,google_rating,google_review_count,website_url,google_maps_url,date_collected,menu_verification_status,menu_item_count,priced_item_count,avg_matcha_price,median_matcha_price,min_matcha_price,max_matcha_price,unique_flavor_count,unique_category_count,matcha_claim_item_count,flavored_item_count,hot_item_count,iced_item_count,price_coverage_pct,flavored_item_ratio,matcha_price_level,raw_text_status,human_review_status,has_complete_menu,matcha_score,matcha_score_rank
SEA012,ChIJqTPr5FxrkFQRIgTFZDo3zfQ,Yoka Tea,Seattle,Madrona,"1101 34th Ave, Seattle, WA 98122",Boba / Bubble Tea Shop,4.8,256.0,,https://maps.google.com/?cid=17639816039418364962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,4,4,6.475,6.5649999999999995,6.085,6.6850000000000005,2,3,0,1,0,4,100.0,0.25,Low,Full menu captured,Reviewed,True,53.0,9
SEA013,ChIJnQvknrJrkFQRKsC9rvTlX1Y,Junbi Matcha & Tea - Seattle,Seattle,Capitol Hill,"722 E Pike St Ste 110, Seattle, WA 98122",Matcha / Tea Shop,4.4,108.0,https://junbishop.com/,https://maps.google.com/?cid=6223946049115766826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,23,23,7.571739130434783,7.5,6.5,9.0,10,4,23,19,15,19,100.0,0.826,Medium,Full menu captured,Reviewed,True,49.7,15
SEA014,ChIJU6O0Y_1rkFQRw0BduR7xyBU,Lune Cafe,Seattle,Pioneer Square,"107 1st Ave S, Seattle, WA 98104",Bakery / Dessert Cafe,4.5,1332.0,https://lunesglow.com/,https://maps.google.com/?cid=1569769584399827139&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,5,5,6.3,6.25,6.25,6.5,5,1,0,4,5,5,100.0,0.8,Low,Full menu captured,Reviewed,True,52.1,10
SEA015,ChIJWSGEUNBrkFQRj7sUhdYFnXE,Baiten,Seattle,Capitol Hill,"510 E Pine St, Seattle, WA 98122",Bakery / Dessert Cafe,4.5,216.0,https://www.tamaribarseattle.com/baiten,https://maps.google.com/?cid=8186706116543298447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,4,4,6.0,7.0,3.0,7.0,1,3,2,0,1,1,100.0,0.0,Low,Full menu captured,Reviewed,True,41.4,21
SEA016,ChIJd1f3fGoVkFQRz0eZTCdX2zc,Vale Matcha & Coffee,Seattle,Denny Triangle,"2000 Terry Ave, Seattle, WA 98121",Matcha / Tea Shop,4.3,196.0,https://www.valematcha.com/,https://maps.google.com/?cid=4024906518286125007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,8,8,7.8125,8.0,6.0,8.5,6,2,0,5,2,8,100.0,0.625,Medium,Full menu captured,Reviewed,True,33.2,25
SEA017,ChIJ0630IAAVkFQRO86TGVmF288,Elixir,Seattle,University District,"4524 University Wy NE, Seattle, WA 98105",Bakery / Dessert Cafe,4.3,70.0,https://www.elixirseattle.net/,https://maps.google.com/?cid=14977711603478416955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,5,5,9.1,8.0,7.0,12.0,4,2,3,4,0,3,100.0,0.8,High,Full menu captured,Reviewed,True,21.4,28
SEA018,ChIJGy4McgBrkFQRdryDJRlK9dA,Jin Jin Matcha,Seattle,Downtown,"1325 4th Ave #1230, Seattle, WA 98101",Matcha / Tea Shop,4.5,59.0,,https://maps.google.com/?cid=15057022401047149686&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,14,14,7.892857142857143,8.0,6.5,8.5,8,4,14,9,0,14,100.0,0.643,Medium,Full menu captured,Reviewed,True,40.2,23
SEA019,ChIJT5j7Y8YVkFQRCeKtQH6eJSI,Miro Tea,Seattle,Ballard,"5405 Ballard Ave NW, Seattle, WA 98107",Matcha / Tea Shop,4.7,976.0,http://www.mirotea.com/,https://maps.google.com/?cid=2460547036516049417&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,8,8,7.5,7.5,6.25,8.5,4,3,6,3,3,8,100.0,0.375,Low,Full menu captured,Reviewed,True,58.5,4
SEA020,ChIJPZxNkZ1rkFQREOhvtKhmGo4,Hello Em Việt Coffee & Roastery,Seattle,Chinatown-International District,"1227 S Weller St, Seattle, WA 98144",Cafe / Coffee Shop,4.7,757.0,https://www.helloem.coffee/,https://maps.google.com/?cid=10239609577548015632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,2,2,7.875,7.875,7.5,8.25,2,2,2,1,1,2,100.0,0.5,Medium,Full menu captured,Reviewed,True,50.0,14
SEA021,ChIJP3XOGWAUkFQRT_lH1mC1SfU,OH! Bear Cafe & TeaHouse,Seattle,University District,"4708 11th Ave NE, Seattle, WA 98105",Boba / Bubble Tea Shop,4.6,426.0,https://www.ohbearcafeteahousewa.com/?utm_source=gmb&utm_medium=website,https://maps.google.com/?cid=17674857640108751183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,2,2,8.5,8.5,6.5,10.5,2,2,1,1,1,1,100.0,0.5,High,Full menu captured,Reviewed,True,41.5,20
SEA022,ChIJOTVu5NFrkFQRvAtWzY-Iwtw,Atulea,Seattle,Capitol Hill,"1715 12th Ave #100, Seattle, WA 98122",Boba / Bubble Tea Shop,4.5,398.0,http://shopatulea.com/,https://maps.google.com/?cid=15907426985032682428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,10,10,4.925,5.0,3.5,5.5,9,3,6,8,7,10,100.0,0.8,Low,Full menu captured,Reviewed,True,53.5,7
SEA023,ChIJ9Yke7MJrkFQR7CJNNPFpfL4,Coche Valley Dessert Cafe,Seattle,Capitol Hill,"1424 E Pine St, Seattle, WA 98122",Bakery / Dessert Cafe,4.5,328.0,https://cochevalleydessertcafecap.square.site/,https://maps.google.com/?cid=13725962249003934444&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,4,4,7.475,7.225,5.95,9.5,3,2,4,2,1,4,100.0,0.5,Low,Full menu captured,Reviewed,True,40.5,22
SEA024,ChIJ3d-iqVxrkFQRKNl7TtHwYK8,Yuu Tea Cafe,Seattle,Columbia City,"4400 Rainier Ave S, Seattle, WA 98118",Boba / Bubble Tea Shop,4.8,275.0,https://yuuteacafe.net/,https://maps.google.com/?cid=12637365336157182248&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,9,9,7.861111111111111,7.75,7.5,8.75,9,3,9,8,0,9,100.0,0.889,Medium,Full menu captured,Reviewed,True,55.4,5
SEA025,ChIJvful7UFrkFQR0OhobFnU_fs,Aroom Coffee Waterfront,Seattle,Downtown Waterfront,"904 Alaskan Wy, Seattle, WA 98104",Cafe / Coffee Shop,4.7,257.0,https://aroomers.com/,https://maps.google.com/?cid=18157902753163700432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,5,5,7.5,7.5,6.75,8.25,4,1,5,3,2,5,100.0,0.6,Low,Full menu captured,Reviewed,True,47.8,17
SEA026,ChIJ3dzzqxdrkFQR1xVyFgc9Vsg,KOTO JELLY COFFEE,Seattle,First Hill,"512 Broadway, Seattle, WA 98122",Bakery / Dessert Cafe,4.6,215.0,https://kotocoffee.com/,https://maps.google.com/?cid=14435792756233344471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,5,5,7.06,7.35,3.95,8.95,1,3,0,0,1,4,100.0,0.0,Low,Full menu captured,Reviewed,True,43.9,18
SEA027,ChIJJ7opW15rkFQRpE4PHo9qP7A,CU URBAN MARKET & CAFE,Seattle,Downtown,"1117 1st Ave, Seattle, WA 98101",Cafe / Coffee Shop,4.8,207.0,http://cumnc.com/,https://maps.google.com/?cid=12699986637125275300&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,7,7,6.925714285714286,6.49,6.49,8.74,6,1,7,5,4,7,100.0,0.714,Low,Full menu captured,Reviewed,True,53.9,6
SEA028,ChIJAb0KE0RrkFQRuI4X0By5Mcw,Howdy Y'all Coffee (Central Library),Seattle,Downtown,"1000 4th Ave Fl 3, Seattle, WA 98104",Cafe / Coffee Shop,4.9,118.0,https://howdyyallcoffee.com/,https://maps.google.com/?cid=14713744990997548728&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,4,4,7.375,7.75,6.0,8.0,3,2,4,2,0,4,100.0,0.5,Low,Full menu captured,Reviewed,True,50.5,12
