place_id,shop_name,formatted_address,primary_type,google_types,google_rating,google_review_count,website_url,google_maps_url,discovery_query,date_collected_utc,verification_status
ChIJMesSl2YVkFQR9cjxPkeMS_g,Matcha Magic SLU,"500 Fairview Ave N, Seattle, WA 98109",cafe,cafe; food; point_of_interest; establishment,4.9,309,https://www.itsmatchamagic.com/,https://maps.google.com/?cid=17891548182286026997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha in Seattle, WA",2026-08-29T04:08:00+00:00,Needs menu verification
ChIJRQ55ea8VkFQRooTMPmyxckw,Grean Matcha,"4524 University Wy NE, Seattle, WA 98105",cafe,cafe; food; point_of_interest; establishment,4.7,121,http://drinkgrean.com/,https://maps.google.com/?cid=5508660372695712930&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha in Seattle, WA",2026-08-29T04:08:00+00:00,Needs menu verification
ChIJgRGSPgAVkFQRbrop5Z87pSc,Mina’s Matcha,"5200 Roosevelt Way NE Ste A, Seattle, WA 98105",cafe,cafe; dessert_shop; coffee_shop; confectionery; food_store; food; store; point_of_interest; establishment,4.8,145,,https://maps.google.com/?cid=2856755096567003758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha in Seattle, WA",2026-08-29T04:08:00+00:00,Needs menu verification
ChIJq8-wWk1rkFQRM6WEAOx7x2k,Matcha Magic Capitol Hill,"1530 11th Ave, Seattle, WA 98122",cafe,cafe; food; point_of_interest; establishment,4.8,448,https://www.itsmatchamagic.com/,https://maps.google.com/?cid=7622197147899045171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha in Seattle, WA",2026-08-29T04:08:00+00:00,Needs menu verification
ChIJn_YYQXkVkFQRe1gVLs8eJyM,Taz Matcha,"1514 4th Ave, Seattle, WA 98101",cafe,cafe; food; point_of_interest; establishment,4.4,384,https://tazseattle.com/,https://maps.google.com/?cid=2533027190599407739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha in Seattle, WA",2026-08-29T04:08:00+00:00,Needs menu verification
