item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,milk_options,matcha_type_claim,menu_source,menu_url,date_collected,price_is_starting,extraction_evidence,review_status
ITM021,SEA002,Pistachio Cream Matcha Latte,Matcha Latte,Pistachio,FALSE,TRUE,20oz,9.25,10.75,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM022,SEA002,Mango Sticky Rice Matcha Latte,Matcha Latte,Mango,FALSE,TRUE,20oz,8.75,10.25,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM023,SEA002,Mango Matcha Latte,Matcha Latte,Mango,FALSE,TRUE,20oz,8.0,9.5,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM024,SEA002,Matcha Tiramisu Matcha Latte,Matcha Latte,Matcha Tiramisu,FALSE,TRUE,20oz,9.25,9.25,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM025,SEA002,Strawberry Matcha,Matcha Latte,Strawberry,FALSE,TRUE,20oz,8.0,9.5,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM026,SEA002,Banana Bread Matcha Latte,Matcha Latte,Banana,FALSE,TRUE,20oz,8.25,9.75,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM027,SEA002,Matcha Brulee,Matcha Smoothie,Cream Brulee,FALSE,TRUE,20oz,8.75,8.75,,Uji,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM028,SEA002,Cloudy Oreo Matcha,Matcha Smoothie,Oreo,FALSE,TRUE,20oz,8.25,8.25,,Uji,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM029,SEA003,Triple Supreme Matcha Latte,Matcha Latte,Original,TRUE,TRUE,16oz,7.99,7.99,,,Official App,https://apps.apple.com/us/app/heytea/id6468945008,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM030,SEA003,Matcha Cloud Coconut Blue,Matcha Latte,Coconut,FALSE,TRUE,16oz,8.49,8.49,,,Official App,https://apps.apple.com/us/app/heytea/id6468945008,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM031,SEA003,Cloud Matcha Latte,Matcha Latte,Original,TRUE,TRUE,16oz,7.99,7.99,,,Official App,https://apps.apple.com/us/app/heytea/id6468945008,2026-08-28,False,Human-validated pilot menu record,Reviewed
SEA004-AI-001,SEA004,Matcha-Americano,Matcha,Original,,True,,5.5,5.5,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,False,Ceremonial matcha & water,Reviewed
SEA004-AI-002,SEA004,Matcha Latte,Matcha Latte,Original,,True,,7.0,,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,"Organic ceremonial matcha, milk, pure maple syrup",Reviewed
SEA004-AI-003,SEA004,Sakura Matcha Latte,Matcha Latte,Sakura,,True,,7.25,,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,sakura infused syrup,Reviewed
SEA004-AI-004,SEA004,Lavender Matcha Latte,Matcha Latte,Lavender,,True,,7.25,,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,lavender syrup,Reviewed
SEA004-AI-005,SEA004,Rose Matcha Latte,Matcha Latte,Rose,,True,,7.25,,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,rose infused syrup,Reviewed
SEA004-AI-006,SEA004,Chai Matcha Latte,Matcha Latte,Chai,,True,,6.75,,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,"Organic ceremonial matcha, spiced chai, milk",Reviewed
SEA004-AI-007,SEA004,Vanilla Matcha Latte,Matcha Latte,Vanilla,,True,,7.25,,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,"vanilla paste, maple syrup",Reviewed
SEA004-AI-008,SEA004,Strawberry Matcha Latte,Matcha Latte,Strawberry,,True,,7.5,,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,fresh strawberry puree,Reviewed
SEA004-AI-009,SEA004,Double Strawberry Matcha Latte,Matcha Latte,Strawberry,,True,,9.0,9.0,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,False,with strawberry cream top,Reviewed
SEA004-AI-010,SEA004,Strawberry Cream Top Matcha Latte,Matcha Latte,Strawberry,False,True,,8.5,8.5,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,False,(iced only),Reviewed
SEA004-AI-011,SEA004,Salted Cream Top Matcha Latte,Matcha Latte,Original,,True,,8.0,8.0,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,False,salted cream cold foam,Reviewed
SEA004-AI-012,SEA004,Coconut Matcha Cloud,Matcha,Coconut,False,True,,7.5,,,,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,(iced only) - $7.50+,Reviewed
