shop_id,google_place_id,shop_name,city,neighborhood,address,shop_type,google_rating,google_review_count,website_url,google_maps_url,date_collected,menu_verification_status
SEA016,ChIJd1f3fGoVkFQRz0eZTCdX2zc,Vale Matcha & Coffee,Seattle,Denny Triangle,"2000 Terry Ave, Seattle, WA 98121",Matcha / Tea Shop,4.3,196.0,https://www.valematcha.com/,https://maps.google.com/?cid=4024906518286125007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA017,ChIJ0630IAAVkFQRO86TGVmF288,Elixir,Seattle,University District,"4524 University Wy NE, Seattle, WA 98105",Bakery / Dessert Cafe,4.3,70.0,https://www.elixirseattle.net/,https://maps.google.com/?cid=14977711603478416955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA018,ChIJGy4McgBrkFQRdryDJRlK9dA,Jin Jin Matcha,Seattle,Downtown,"1325 4th Ave #1230, Seattle, WA 98101",Matcha / Tea Shop,4.5,59.0,,https://maps.google.com/?cid=15057022401047149686&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA019,ChIJT5j7Y8YVkFQRCeKtQH6eJSI,Miro Tea,Seattle,Ballard,"5405 Ballard Ave NW, Seattle, WA 98107",Matcha / Tea Shop,4.7,976.0,http://www.mirotea.com/,https://maps.google.com/?cid=2460547036516049417&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA020,ChIJPZxNkZ1rkFQREOhvtKhmGo4,Hello Em Việt Coffee & Roastery,Seattle,Chinatown-International District,"1227 S Weller St, Seattle, WA 98144",Cafe / Coffee Shop,4.7,757.0,https://www.helloem.coffee/,https://maps.google.com/?cid=10239609577548015632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA021,ChIJP3XOGWAUkFQRT_lH1mC1SfU,OH! Bear Cafe & TeaHouse,Seattle,University District,"4708 11th Ave NE, Seattle, WA 98105",Boba / Bubble Tea Shop,4.6,426.0,https://www.ohbearcafeteahousewa.com/?utm_source=gmb&utm_medium=website,https://maps.google.com/?cid=17674857640108751183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA022,ChIJOTVu5NFrkFQRvAtWzY-Iwtw,Atulea,Seattle,Capitol Hill,"1715 12th Ave #100, Seattle, WA 98122",Boba / Bubble Tea Shop,4.5,398.0,http://shopatulea.com/,https://maps.google.com/?cid=15907426985032682428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA023,ChIJ9Yke7MJrkFQR7CJNNPFpfL4,Coche Valley Dessert Cafe,Seattle,Capitol Hill,"1424 E Pine St, Seattle, WA 98122",Bakery / Dessert Cafe,4.5,328.0,https://cochevalleydessertcafecap.square.site/,https://maps.google.com/?cid=13725962249003934444&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA024,ChIJ3d-iqVxrkFQRKNl7TtHwYK8,Yuu Tea Cafe,Seattle,Columbia City,"4400 Rainier Ave S, Seattle, WA 98118",Boba / Bubble Tea Shop,4.8,275.0,https://yuuteacafe.net/,https://maps.google.com/?cid=12637365336157182248&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA025,ChIJvful7UFrkFQR0OhobFnU_fs,Aroom Coffee Waterfront,Seattle,Downtown Waterfront,"904 Alaskan Wy, Seattle, WA 98104",Cafe / Coffee Shop,4.7,257.0,https://aroomers.com/,https://maps.google.com/?cid=18157902753163700432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA026,ChIJ3dzzqxdrkFQR1xVyFgc9Vsg,KOTO JELLY COFFEE,Seattle,First Hill,"512 Broadway, Seattle, WA 98122",Bakery / Dessert Cafe,4.6,215.0,https://kotocoffee.com/,https://maps.google.com/?cid=14435792756233344471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA027,ChIJJ7opW15rkFQRpE4PHo9qP7A,CU URBAN MARKET & CAFE,Seattle,Downtown,"1117 1st Ave, Seattle, WA 98101",Cafe / Coffee Shop,4.8,207.0,http://cumnc.com/,https://maps.google.com/?cid=12699986637125275300&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA028,ChIJAb0KE0RrkFQRuI4X0By5Mcw,Howdy Y'all Coffee (Central Library),Seattle,Downtown,"1000 4th Ave Fl 3, Seattle, WA 98104",Cafe / Coffee Shop,4.9,118.0,https://howdyyallcoffee.com/,https://maps.google.com/?cid=14713744990997548728&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
