place_id,shop_name,formatted_address,city_scope_check,primary_type,google_types,google_rating,google_review_count,website_url,google_maps_url,query_match_count,discovery_queries,verification_status,qualification_basis,rejection_reason,date_collected_utc
ChIJnQvknrJrkFQRKsC9rvTlX1Y,Junbi Matcha & Tea - Seattle,"722 E Pike St Ste 110, Seattle, WA 98122",True,cafe,cafe; food; point_of_interest; establishment,4.4,108.0,https://junbishop.com/,https://maps.google.com/?cid=6223946049115766826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJU6O0Y_1rkFQRw0BduR7xyBU,Lune Cafe,"107 1st Ave S, Seattle, WA 98104",True,cafe,cafe; food; point_of_interest; establishment,4.5,1332.0,https://lunesglow.com/,https://maps.google.com/?cid=1569769584399827139&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2,"matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJWSGEUNBrkFQRj7sUhdYFnXE,Baiten,"510 E Pine St, Seattle, WA 98122",True,dessert_shop,dessert_shop; confectionery; food_store; store; food; point_of_interest; establishment,4.5,216.0,https://www.tamaribarseattle.com/baiten,https://maps.google.com/?cid=8186706116543298447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:23+00:00
ChIJd1f3fGoVkFQRz0eZTCdX2zc,Vale Matcha & Coffee,"2000 Terry Ave, Seattle, WA 98121",True,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,4.3,196.0,https://www.valematcha.com/,https://maps.google.com/?cid=4024906518286125007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2,"matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJ0630IAAVkFQRO86TGVmF288,Elixir,"4524 University Wy NE, Seattle, WA 98105",True,restaurant,restaurant; dessert_restaurant; food; point_of_interest; establishment,4.3,70.0,https://www.elixirseattle.net/,https://maps.google.com/?cid=14977711603478416955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2,"matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJGy4McgBrkFQRdryDJRlK9dA,Jin Jin Matcha,"1325 4th Ave #1230, Seattle, WA 98101",True,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,4.5,59.0,,https://maps.google.com/?cid=15057022401047149686&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2,"matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJT5j7Y8YVkFQRCeKtQH6eJSI,Miro Tea,"5405 Ballard Ave NW, Seattle, WA 98107",True,tea_house,tea_house; pastry_shop; dessert_shop; breakfast_restaurant; confectionery; bakery; food_store; store; restaurant; food; point_of_interest; establishment,4.7,976.0,http://www.mirotea.com/,https://maps.google.com/?cid=2460547036516049417&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"Japanese tea cafe in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:23+00:00
ChIJPZxNkZ1rkFQREOhvtKhmGo4,Hello Em Việt Coffee & Roastery,"1227 S Weller St, Seattle, WA 98144",True,coffee_shop,coffee_shop; coffee_roastery; sandwich_shop; cafe; food_store; restaurant; food; store; point_of_interest; establishment,4.7,757.0,https://www.helloem.coffee/,https://maps.google.com/?cid=10239609577548015632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJP3XOGWAUkFQRT_lH1mC1SfU,OH! Bear Cafe & TeaHouse,"4708 11th Ave NE, Seattle, WA 98105",True,cafe,cafe; food; point_of_interest; establishment,4.6,426.0,https://www.ohbearcafeteahousewa.com/?utm_source=gmb&utm_medium=website,https://maps.google.com/?cid=17674857640108751183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"Japanese tea cafe in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:23+00:00
ChIJxRtfPWFrkFQRYxQajr-FZoM,The Usual,"1414 E Yesler Wy, Seattle, WA 98122",True,cafe,cafe; food; point_of_interest; establishment,4.4,405.0,https://theusual.squarespace.com/,https://maps.google.com/?cid=9468402324362368099&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"matcha cafe in Seattle, WA",Rejected,,Does not meet project inclusion criteria after manual review,2026-08-29T04:16:19+00:00
